Month,Year,Area,DEPTH,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,CHLA,TOC,SAL_S,SAL_B,TEMP_S,TEMP_B,DO_S,DO_B,TURB,pH
February,2001,Taylor,2.3,0.4,0,0.4,1.405,51.481,1.805,49.676,0.303,0.023,0.335,957.708,35,35.1,23.9,23.9,7.4,7.4,7.04,-9999
May,1997,Taylor,2.3,0.433,0.29,0.143,7.978,61.089,8.41,52.679,0.118,0.008,0.385,869.792,38.9,38.9,30.9,30.9,6.7,6.8,1.2,-9999
January,2004,Taylor,2.3,0.243,0.194,0.05,2.208,41.244,2.451,38.793,0.133,0.008,0.285,700.667,28.46,28.51,20.32,20.25,7.8,7.81,1.82,8.28
December,1997,Taylor,2.3,0.488,0.325,0.163,4.8,49.018,5.288,43.73,0.265,0.013,1.146,760.688,29.2,29.4,24,22.7,6.9,7.1,1.9,-9999
July,2001,Taylor,2.3,0.073,0,0.073,1.048,36.736,1.12,35.616,0.248,0.018,0.446,809.333,43.2,43.2,28.9,28.9,5.9,6.1,1.29,-9999
October,2003,Taylor,2.3,0.185,0.157,0.028,0.875,42.594,1.06,41.535,0.264,0.069,2.149,986.042,32.39,32.46,29.78,29.77,6.35,6.33,3.61,8.29
June,1997,Taylor,2.3,1.015,0.753,0.263,22.8,73.113,23.815,49.298,0.295,0,0.433,899.167,35.2,36.2,28.6,28.3,6,6,1.9,-9999
April,2005,Taylor,2.3,0.242,0.206,0.036,1.12,22.037,1.362,20.676,0.151,0.058,0.411,544.5,44.21,44.49,25.13,24.35,5.94,5.86,6.99,8.44
August,2005,Taylor,2.3,0.663,0.5,0.162,1.227,35.168,1.89,33.278,0.141,0.043,0.597,620.583,43.83,44.27,32.42,32.48,6.75,8.36,1.77,8.33
January,2000,Taylor,2.3,0.589,0.556,0.034,0.944,55.778,1.533,54.245,0.318,0.025,0.892,867.5,28,28,19.2,19.2,5.7,5.6,0.56,-9999
October,1997,Taylor,2.3,0.508,0.345,0.163,5.523,47.443,6.03,41.413,0.183,0.013,0.266,606.146,32.3,32.4,24.6,24.6,3.8,3.8,1.5,-9999
September,1998,Taylor,2.3,0.538,0.443,0.095,8.663,43.101,9.2,33.901,0.279,0.013,0.34,757.5,36.9,36.9,28.7,26.7,4.6,4.5,2.95,-9999
September,2000,Taylor,2.3,0.333,0.217,0.117,2.621,56.129,2.954,53.175,0.105,0.056,0.394,954.583,40.4,40.6,30.3,30.5,4.3,4.3,1.28,-9999
March,2000,Taylor,2.3,0.636,0.613,0.023,1.127,31.359,1.763,29.597,0.119,0.07,1.255,778.063,30.8,30.9,28,27.3,6.1,6.3,1.14,-9999
July,1997,Taylor,2.3,0.533,0.41,0.123,7.168,70.247,7.7,62.547,0.283,0,0.581,918.125,31.8,31.8,30.1,30.8,7,4.4,1.5,-9999
November,2004,Taylor,2.3,0.342,0.302,0.039,1.735,27.419,2.077,25.342,0.105,0.057,0.352,441.583,40.49,40.54,24.46,24.49,5.29,5.39,1.85,8.29
November,2001,Taylor,2.3,0.498,0.376,0.122,4.653,10.716,5.151,5.565,0.11,0.043,0.175,403,28.5,30.2,22.7,22.9,7.3,7.3,5.62,-9999
October,2005,Taylor,2.3,0.397,0.281,0.116,6.21,25.561,6.607,18.954,0.627,0.027,0.583,346.438,36.42,36.41,29.03,29.03,6.77,6.79,2.76,8.14
April,2001,Taylor,2.3,0.305,0.199,0.106,1.925,31.186,2.23,28.956,0.175,0.03,0.226,815.375,40.9,41,25.3,25.1,6.8,7.1,2.39,-9999
December,1999,Taylor,2.3,1.018,0.628,0.39,6.333,40.022,7.35,32.672,0.093,0.08,0.24,726.271,23.6,25.3,18.9,18.7,7.8,8.7,3.6,-9999
August,2004,Taylor,2.3,0.41,0.336,0.075,1.821,26.9,2.231,24.669,0.158,0.022,0.534,901.458,43.29,44,32.37,31.68,3.83,3.74,1.21,8.34
November,2000,Taylor,2.3,0.405,0.243,0.163,3.065,51.364,3.47,47.894,0.188,0.031,0.377,775.396,32.4,32.8,22.1,22,6.9,6.8,3.18,-9999
June,1996,Taylor,2.3,0.5,0.34,0.16,15.885,79.162,16.385,62.777,0.228,0,0.321,727.833,36.2,36.2,30.6,30.7,6.5,7.1,1.65,-9999
October,1996,Taylor,2.3,0.61,0.488,0.123,10.815,90.45,11.425,79.025,0.353,0.003,1.741,986.25,29.6,29.7,24.3,24.4,6.4,6.4,7.95,-9999
February,1998,Taylor,2.3,1.808,1.54,0.268,17.048,54.177,18.855,35.322,0.257,0.01,0.61,555.708,27.3,28.6,25.1,25.2,7.2,7.7,2.7,-9999
December,2002,Taylor,2.3,0.302,0.217,0.086,2.998,30.924,3.3,27.624,0.271,0.087,0.429,717.708,31.35,32.36,25.2,24.9,6.2,6.16,2.2,8.18
December,1996,Taylor,2.3,1.148,0.778,0.37,5.948,48.363,7.095,41.268,0.138,0.093,0.066,538.063,28.7,29.6,24,24.3,7.2,7.1,1.3,-9999
August,1999,Taylor,2.3,0.083,0,0.083,2.293,61.571,2.375,59.196,0.118,-9999,0.357,1036.875,39.3,39.3,28.6,28.6,4.1,3.8,1.18,-9999
May,1999,Taylor,2.3,0.118,0.04,0.078,3.195,59.091,3.313,55.778,0.16,0.028,0.436,897.708,41.1,41.1,31.7,31.7,4.4,4.4,0.75,-9999
February,1997,Taylor,2.3,0.248,0.063,0.185,5.888,55.117,6.135,48.982,0.233,0.005,0.216,942.5,29.6,29.6,25.2,25.2,7,7,1.55,-9999
May,1998,Taylor,2.3,0.253,0.027,0.225,4.57,66.408,4.823,61.586,0.303,0.058,0.377,914.583,38.7,38.7,28.8,28.8,5.5,5.5,1.2,-9999
November,2005,Taylor,2.3,0.862,0.755,0.107,7.284,35.763,8.146,27.617,0.119,0.072,0.73,404.563,30.88,30.94,25.31,25.33,7.08,7.03,1.41,8.15
June,1998,Taylor,2.3,0.235,0.115,0.12,6.873,59.075,7.108,51.967,0.228,0.018,0.697,844.792,39.1,39.4,30.1,29.6,5.8,5.8,0.95,-9999
August,2002,Taylor,2.3,0.169,0.127,0.042,0.97,70.542,1.138,69.404,0.116,0.047,0.491,1001.458,33.61,33.84,29.99,29.76,6.17,5.86,1.3,8.36
February,1996,Taylor,2.3,0.87,0.503,0.368,23.868,72.262,24.738,47.524,0.288,0.018,1.123,950,28,28,20.9,20.9,8,8,4.9,-9999
November,1996,Taylor,2.3,0.48,0.335,0.145,3.895,38.418,4.375,34.043,0.153,0.03,0.245,560.479,29.8,30.5,28,27.5,7,7,2.35,-9999
February,2004,Taylor,2.3,0.203,0.154,0.049,1.203,50.362,1.406,48.956,0.11,0.021,0.24,592.563,31.64,31.78,24.46,24.44,6.28,6.11,0.99,8.26
July,2003,Taylor,2.3,0.237,0.204,0.033,1.744,30.849,1.981,28.869,0.229,0.082,0.753,768.354,35.5,35.26,28.83,28.83,5.69,5.79,2.12,8.25
May,1996,Taylor,2.3,0.245,0.145,0.1,4.563,45.019,4.808,40.211,0.16,0.003,0.19,576.188,36.5,36.6,27.5,27.5,6.9,7,2.95,-9999
April,2003,Taylor,2.3,0.264,0.209,0.055,1.023,32.926,1.287,31.639,0.163,0.074,0.549,635.958,34.27,34.25,25.89,25.9,6.57,4.71,1.39,8.4
August,1997,Taylor,2.3,0.21,0.145,0.065,3.638,68.912,3.848,65.065,0.215,0.01,1.078,1004.375,33.9,33.9,32,32,6.7,6.3,2.1,-9999
October,2004,Taylor,2.3,0.369,0.298,0.071,4.216,24.707,4.584,20.123,0.136,0.025,0.7,771.042,41.71,41.73,26.12,26.22,5.55,5.69,5.65,8.14
December,2004,Taylor,2.3,0.233,0.151,0.082,0.869,19.799,1.102,18.697,0.187,0.054,0.471,690.472,42.42,42.38,21.85,21.81,5.77,5.65,1.36,8.31
March,1996,Taylor,2.3,0.98,0.628,0.353,10.975,49.352,11.955,37.397,0.348,0.025,0.227,557.333,32.1,32.2,21.6,19.5,7.3,7.4,5.65,-9999
November,2003,Taylor,2.3,0.218,0.177,0.041,2.758,26.911,2.976,23.935,0.153,0.048,0.524,846.042,27.57,27.36,25.51,25.5,5.25,5.37,2.43,8.21
May,2002,Taylor,2.3,0.236,0.158,0.078,1.437,25.284,1.673,23.611,0.542,0.049,0.273,475.458,40.04,40.05,28.75,28.74,3.27,3.23,0.54,8.3
August,2000,Taylor,2.3,0.742,0.71,0.033,2.175,32.237,2.917,29.321,0.203,0.075,0.181,558.938,39.9,40,27.9,27.9,4,3.8,1.21,-9999
May,2003,Taylor,2.3,0.243,0.189,0.054,1.852,40.67,2.094,38.576,0.189,0.068,0.528,542.521,34.32,34.02,28.34,28.33,5.82,5.83,1.94,8.34
February,2003,Taylor,2.3,0.232,0.121,0.112,2.189,34.02,2.421,31.599,0.145,0.042,0.332,755.271,31.85,30.8,23.03,22.96,5.45,5.75,4.01,8.48
November,2002,Taylor,2.3,0.861,0.792,0.069,1.896,68.004,2.757,65.247,0.23,0.099,0.408,676.813,31.2,31.28,22.57,22.7,6.38,6.42,6.6,8.21
June,2004,Taylor,2.3,0.628,0.596,0.032,0.809,27.637,1.438,26.199,0.107,0.041,0.937,760.208,43.95,44.06,31.8,31.87,5.43,5.49,1.36,8.35
March,2005,Taylor,2.3,0.18,0.142,0.038,0.739,24.102,0.919,23.182,0.174,0.031,0.83,595.146,39.1,39.14,24.82,24.78,6.29,6.27,0.88,8.47
May,2000,Taylor,2.3,0.18,0.145,0.035,1.418,46.59,1.598,44.993,0.338,0.028,0.617,905.833,41.1,41.1,32.1,32.1,4.9,4.9,1.25,-9999
September,2004,Taylor,3.1,0.059,0.031,0.028,0.127,22.047,0.186,21.861,0.209,0.014,0.74,152.354,36.02,36.01,28.56,28.56,5.74,6.57,2.07,8.02
August,2003,Taylor,3.1,0.141,0.096,0.045,0.477,19.752,0.617,19.135,0.143,0.044,0.889,230.438,37.22,36.91,29.76,29.77,5.26,7.08,2.57,8.31
July,2004,Taylor,3.1,0.853,0.785,0.068,1.856,17.541,2.709,14.832,0.252,0.024,0.87,166.417,37.18,37.18,31.84,31.8,5.83,5.86,2.83,8.09
December,2003,Taylor,3.1,0.204,0,0.204,0.13,30.801,0.334,30.468,0.299,0.016,1.111,180.896,33.48,33.2,19.93,19.92,6.14,6.13,4.58,8.24
November,1999,Taylor,3.1,0.65,0.454,0.196,0.398,35.896,1.048,34.848,2.661,0.049,14.27,576.688,28.6,28.6,23.4,23.4,8.2,8.3,99.3,-9999
April,2002,Taylor,3.1,0.064,0.025,0.038,0.434,5.577,0.498,5.079,0.32,0.028,0.431,186.667,37.1,37.1,24.37,24.37,7.63,7.41,7.79,-9999
December,2000,Taylor,3.1,0.134,0.106,0.028,0.165,15.56,0.298,15.262,0.878,0.039,0.874,408.583,34.6,34.6,22.1,22.1,7.8,7.7,1.82,-9999
December,2005,Taylor,3.1,0.244,0.212,0.032,0.148,18.803,0.392,18.411,0.72,0.056,0.512,272.75,31.56,31.56,21.1,21.09,9.23,9.75,2.34,8.02
June,2005,Taylor,3.1,0.107,0.09,0.017,0.21,32.874,0.318,32.556,0.208,0.018,0.332,180.271,39.47,39.46,29.27,29.27,6.21,6.32,0.91,8.24
September,1998,Taylor,3.1,0.265,0.118,0.148,1.048,18.768,1.313,17.455,0.27,0.04,0.658,362.75,37.3,37.3,27.8,27.8,7,6.7,0.88,-9999
October,1999,Taylor,3.1,1.404,0.938,0.466,1.128,61.891,2.531,59.359,1.411,0,22.077,486.25,32.3,32.3,23.5,23.5,7.7,7.7,86.35,-9999
July,1996,Taylor,3.1,0.04,0,0.04,0.288,12.483,0.328,12.156,0.233,0.003,0.237,332.563,35.3,35.2,30.8,30.8,7.4,7.6,1.1,-9999
March,1997,Taylor,3.1,0,0,0,0.138,17.014,0.138,16.877,0.258,0,0.425,347.896,37.3,37.3,25.4,25.2,6.6,6.7,1.25,-9999
August,2001,Taylor,3.1,0.11,0,0.11,0.233,16.597,0.343,16.254,0.248,0.025,2.009,371.875,36.4,36.4,32.3,32.2,5.1,5.1,2.93,-9999
December,2001,Taylor,3.1,0.025,0,0.025,0.214,21.051,0.238,20.812,0.193,0.078,0.682,395.563,29.5,29.5,24.1,24,9.3,8.9,2.2,-9999
June,1997,Taylor,3.1,0.535,0.45,0.085,0.338,17.061,0.873,16.189,0.3,0,0.302,381.938,35.9,35.9,28.3,28.3,6,6,0.6,-9999
October,1997,Taylor,3.1,0.16,0.12,0.04,0.295,27.837,0.455,27.382,0.47,0.005,1.276,404.396,36.3,36.3,24.7,24.7,6.7,6.6,5.55,-9999
December,1998,Taylor,3.1,0.103,0.018,0.085,0.058,21.756,0.16,21.596,0.553,0.008,1.225,332.979,33.7,33.6,24.6,24.6,8.3,8.3,1.41,-9999
March,2003,Taylor,3.1,0.222,0.217,0.005,0.318,18.405,0.539,17.866,0.183,0.096,0.476,190.75,35.04,35.07,27.91,27.92,5.28,5.24,1.39,8.03
June,2001,Taylor,3.1,0.14,0,0.14,0.601,5.814,0.741,5.073,0.193,0.034,0.679,253.813,38.9,-9999,-9999,-9999,-9999,-9999,1.14,-9999
August,1996,Taylor,3.1,0.043,0,0.043,0.16,22.382,0.203,22.179,0.375,0.01,1.191,295.417,36.5,36.5,29.3,29.3,6.3,6.3,5,-9999
June,1996,Taylor,3.1,0.055,0,0.055,0.288,27.515,0.343,27.172,0.343,0.008,0.713,302.563,35.6,35.6,29.8,29.8,5.6,5.7,3.3,-9999
September,2005,Taylor,3.1,0.102,0,0.102,0.225,9.708,0.326,9.382,0.202,0.029,1.786,192.479,35.9,35.98,30.85,30.85,5.31,4.95,1.73,8.28
September,2002,Taylor,3.1,0.064,0.037,0.027,0.234,37.645,0.297,37.348,0.709,0.043,1.081,257.875,37.22,37.2,30.13,30.11,6.62,6.56,3.38,8.16
March,2001,Taylor,3.1,1.06,0.815,0.245,1.538,63.052,2.598,60.454,6.77,0.085,0.409,577.104,37.7,37.7,22.5,22.6,7.8,7.8,71.9,-9999
August,1998,Taylor,3.1,0.083,0,0.083,0.058,15.765,0.14,15.625,0.275,0,0.395,361.833,34.6,34.6,30.7,30.7,5.4,5.5,0.28,-9999
October,1996,Taylor,3.1,0.48,0.265,0.215,0.43,21.439,0.91,20.529,0.418,0,3.807,255.625,34.9,34.9,24.6,24.6,5.7,5.7,9.8,-9999
January,2003,Taylor,3.1,0.294,0.119,0.174,0.22,13.645,0.514,13.132,0.516,0.03,1.299,346.271,31.18,31.21,14.31,14.28,7.39,7.38,9.37,8.02
March,1998,Taylor,3.1,0.038,0.015,0.023,0.168,15.712,0.205,15.507,0.239,0.002,2.904,267,33.5,33.5,24,24,6.2,6.2,2.5,-9999
April,2005,Taylor,3.1,0.041,0.013,0.027,0.435,8.046,0.476,7.569,0.259,0.051,0.308,212.542,38.75,38.77,23.64,23.61,6.95,6.96,1.98,8.35
July,1998,Taylor,3.1,0.105,0,0.105,1.068,17.429,1.173,16.256,0.28,0.033,4.698,297.458,35.9,35.9,29.6,29.6,5.3,5.4,1,-9999
October,2005,Taylor,3.1,0.165,0.134,0.031,0.371,14.744,0.536,14.208,0.604,0.047,0.294,179.854,36.82,36.84,29.7,29.69,7.94,7.89,0.96,8.41
June,2003,Taylor,3.1,0.416,0.383,0.033,0.468,14.75,0.883,13.867,0.34,0.061,0.413,236.021,34.83,34.96,30.13,30.13,5.95,5.91,1.41,8.12
October,2002,Taylor,3.1,0.107,0.086,0.021,0.226,12.851,0.333,12.518,0.351,0.021,0.937,320.438,37.88,37.91,27.8,27.79,7.25,7.28,3.92,8.09
October,2004,Taylor,3.1,0.092,0.064,0.028,0.103,16.639,0.195,16.444,0.181,0.026,0.498,306.833,37.81,37.83,27.16,27.16,4.77,4.86,2.14,8.25
November,1996,Taylor,3.1,0.305,0.253,0.053,0.485,27.956,0.79,27.166,0.293,0.015,0.33,407.25,34.7,34.7,27.4,27.4,6.6,6.6,2.2,-9999
January,2002,Taylor,3.1,0.078,0.036,0.043,0.108,14.116,0.186,13.929,0.225,0.008,0.733,205.833,32.98,32.99,24.78,24.78,8.9,8.67,2.96,-9999
June,2002,Taylor,3.1,0.118,0.063,0.055,0.27,24.331,0.388,23.943,0.12,0.015,0.996,442.813,39.81,39.82,30.3,30.29,5.49,5.41,2.98,8.27
November,2005,Taylor,3.1,0.242,0.206,0.036,0.684,46.611,0.926,45.685,0.263,0.011,0.98,318.938,33.09,33.07,25.69,25.59,6.91,7.15,2.6,8.13
January,1996,Taylor,3.1,0.115,0.068,0.048,0.473,13.197,0.588,12.61,0.403,0,0.926,353.896,30.4,30.4,19.9,19.9,7.8,7.9,11.6,-9999
January,2005,Taylor,3.1,0.178,0.054,0.124,1.128,16.666,1.305,15.361,0.499,0.072,1.515,331.604,33.53,33.59,16.79,16.77,6.77,7.28,9.68,8.28
July,1997,Taylor,3.1,0.235,0.153,0.083,0.443,17.473,0.678,16.796,0.42,0.01,0.798,321.458,34.6,34.6,30.7,30.7,5.8,5.7,6.85,-9999
January,2001,Taylor,3.1,0.075,0.02,0.055,0.2,32.861,0.275,32.586,1.688,0.025,1.073,344.396,37,37,15.9,15.9,8.5,8.5,21.2,-9999
April,1999,Taylor,3.1,0.16,0.03,0.13,0.313,13.001,0.473,12.528,0.453,0,0.184,331.625,36.8,36.7,27.9,27.9,7.1,7.1,0.99,-9999
May,2004,Taylor,3.1,0.113,0.097,0.016,0.319,29.444,0.432,29.012,0.152,0.027,0.34,164.083,38.49,38.52,26.72,26.73,6.43,6.34,4.95,8.3
June,1999,Taylor,3.1,0.13,0,0.13,0.955,16.918,1.085,15.833,0.145,0.06,0.374,282.083,37.2,37.2,30.4,30.4,5,5,1.4,-9999
January,1997,Taylor,3.1,0.083,0.058,0.025,0.205,51.8,0.288,51.513,0.285,0,0.838,373.396,33.2,33.2,24.6,24.6,6.8,6.7,1.4,-9999
April,1996,Taylor,3.1,0.913,0.778,0.135,1.103,15.505,2.015,13.49,0.45,0.039,0.725,262.75,34.4,34.4,26.5,26.4,6.7,6.8,5.4,-9999
March,2002,Taylor,3.1,0.098,0,0.098,0.61,17.319,0.708,16.611,0.314,0.023,1.374,312.667,32.37,32.36,25.46,25.46,7.54,7.53,13.57,-9999
December,2004,Taylor,3.1,0.515,0.502,0.012,0.511,11.291,1.025,10.265,0.214,0.018,0.569,2280.833,33.89,33.91,22.36,22.36,7.11,7.33,2.78,8.17
July,2003,Taylor,3.1,0.272,0.185,0.087,0.474,14.065,0.746,13.319,0.221,0.056,0.528,216.979,36.44,36.15,28.6,28.6,6.29,6.36,1.77,8.03
May,2002,Taylor,3.1,0.058,0.025,0.033,0.435,25.15,0.494,24.657,0.357,0.032,0.667,368.813,38.04,38.03,28.26,28.26,6.79,6.78,3.5,8.09
July,1999,Taylor,3.1,0.173,0.038,0.135,0.52,15.955,0.693,15.263,0.381,0.05,0.763,307.583,36.3,36.2,28,28.1,5,4.9,1.01,-9999
January,2000,Taylor,3.1,0.484,0.411,0.074,0.529,18.625,1.013,17.612,0.706,0.02,2.081,304.438,32.7,32.7,19.5,19.5,8,7.9,1.23,-9999
January,1998,Taylor,3.1,0.003,0.003,0,0.243,14.486,0.245,14.241,0.267,0.002,0.482,222.104,33,33,22.7,22.7,8.8,9.1,1.15,-9999
October,2000,Taylor,3.1,0.178,0.069,0.109,0.17,23.705,0.348,23.357,0.461,0.024,3.048,536.917,39.3,39.3,24.8,24.8,7.5,7.5,8.26,-9999
May,1999,Taylor,3.1,0.18,0,0.18,0.565,14.135,0.745,13.39,0.333,0.023,0.366,205.854,37,37.1,30.9,30.9,5.5,5.5,1.25,-9999
February,2002,Taylor,3.1,0.241,0.2,0.041,0.262,10.781,0.504,10.277,0.645,0.014,0.363,282.292,32.07,32.11,19.9,19.86,10.97,11.43,3.06,-9999
July,2005,Taylor,3.1,0.042,0.012,0.03,0.262,7.938,0.304,7.634,0.243,0.032,0.265,155.958,36.69,36.7,30.91,30.92,6.05,6.18,1.48,8.46
November,1997,Taylor,3.1,0.043,0,0.043,0.308,21.212,0.35,20.862,0.375,0,0.785,254,36.5,36.4,23.5,23.5,7.2,7.2,6.9,-9999
April,2004,Taylor,3.1,0.164,0.137,0.027,0.05,41.503,0.214,41.289,0.275,0.022,0.55,339.979,34.38,34.36,23.32,23.32,7.71,8.93,2.85,8.1
January,1999,Taylor,3.1,0.103,0.02,0.083,1.308,25.964,1.41,24.554,0.632,0.005,0.5,446.979,31.3,31.3,19.1,19.1,7.6,7.8,2.11,-9999
June,2004,Taylor,3.1,0.68,0.633,0.046,0.204,22.487,0.883,21.604,0.176,0.04,0.463,192.125,38.03,38.06,31.01,31.03,6.36,6.4,1.96,8.11
March,2005,Taylor,3.1,0.207,0.18,0.027,0.204,12.656,0.411,12.245,0.279,0.029,0.308,156.771,34.75,36,24.09,24.07,7.72,7.73,2.08,8.22
February,1996,Taylor,3.1,0.028,0.003,0.025,0.338,18.579,0.365,18.214,0.578,0.013,3.521,391.375,30.1,30.2,19.4,19.2,8.5,8.3,14,-9999
May,1998,Taylor,3.1,0.07,0,0.07,0.61,18.431,0.68,17.751,0.273,0.01,0.23,303.208,34.7,34.6,28.7,28.8,5.6,5.8,0.75,-9999
September,2001,Taylor,3.1,0.075,0,0.075,0.17,5.537,0.245,5.292,0.303,0.008,0.74,237.708,37.3,37.2,30.6,30.6,5.55,5.96,1.99,-9999
September,1999,Taylor,3.1,0.48,0,0.48,1.278,20.826,1.758,19.069,0.333,0.015,0.627,394.042,36.3,36.3,27.9,27.9,6,6,0.75,-9999
November,2000,Taylor,3.1,0.12,0.09,0.03,0.138,21.616,0.258,21.359,0.383,0.016,1.178,279.896,34.6,34.6,22.3,22.4,6.6,6.6,4.31,-9999
April,2000,Taylor,3.1,0.106,0,0.106,0.614,30.547,0.72,29.827,0.438,0.087,0.332,262.375,36.2,36.1,24.7,24.7,6.9,6.7,1.03,-9999
August,2005,Taylor,3.1,0.163,0.088,0.075,0.113,17.994,0.276,17.718,0.319,0.038,1.744,248.646,38.84,38.86,31.72,31.71,7.31,7.3,3.21,8.25
August,1999,Taylor,3.1,0.51,0,0.51,0.655,20.589,1.165,19.424,0.21,0.02,0.284,557.292,36.5,36.5,29,28.9,6.9,7,0.49,-9999
December,1999,Taylor,3.1,0.395,0.19,0.205,1.063,40.198,1.458,38.74,1.103,0.01,5.452,689.438,27.7,27.7,19.5,19.5,7.5,7.5,12.72,-9999
September,1997,Taylor,3.1,0.065,0.02,0.045,0.34,28.594,0.405,28.189,0.323,0.003,0.509,320.542,35.7,35.7,28.8,28.8,6.4,6.4,1.7,-9999
April,2003,Taylor,3.1,0.351,0.302,0.05,0.137,20.306,0.488,19.817,0.418,0.038,1.642,203.667,34.7,34.72,25.21,25.2,6.3,6.13,3.15,7.99
February,2001,Taylor,3.1,0.035,0,0.035,0.17,29.985,0.205,29.78,0.481,0.03,0.442,423.292,37.1,37.1,23.8,23.5,7.6,7.5,10.43,-9999
June,1998,Taylor,3.1,0.158,0.088,0.07,2.085,13.394,2.243,11.152,0.193,0.033,0.321,280.063,35.1,35.1,30.2,30.2,6,6,0.4,-9999
December,1996,Taylor,3.1,0.06,0,0.06,0.423,37.423,0.483,36.941,0.49,0.015,1.587,496.208,32.7,32.7,23.8,23.8,6.3,6.3,3.4,-9999
May,2000,Taylor,3.1,0.37,0.298,0.073,0.17,11.426,0.54,10.886,0.667,0.055,1.472,215.188,38.1,38.2,31,30.9,6.7,6.7,7.34,-9999
May,1996,Taylor,3.1,0.11,0.013,0.098,0.448,19.083,0.558,18.525,0.243,0.02,0.281,218.208,37.4,37.4,26.8,26.7,7.4,7.6,4.3,-9999
February,1997,Taylor,3.1,0.02,0,0.02,0.123,17.926,0.143,17.784,0.095,0.003,0.233,366.479,34.5,34.5,25.3,25.3,7.8,7.8,1.8,-9999
May,1997,Taylor,3.1,0.553,0.36,0.193,1.248,23.647,1.8,21.847,0.248,0.025,0.914,404.208,37.7,37.7,31.2,30.7,6.3,6.3,5.65,-9999
February,2004,Taylor,3.1,0.046,0.016,0.03,0.255,38.812,0.301,38.511,0.201,0.04,0.497,239.229,34.39,34.4,23.62,23.61,6.95,7.1,0.95,8.14
February,2005,Taylor,3.1,0.067,0.035,0.031,0.151,19.916,0.217,19.699,0.249,0.016,0.237,234.083,35.37,35.36,22.2,22.2,6.27,7.58,3.6,8.28
December,2002,Taylor,3.1,0.161,0.108,0.054,0.154,11.437,0.316,11.121,0.412,0.088,1.028,254,33.06,32.83,24.52,24.52,7.37,5.08,2.94,8.02
May,2005,Taylor,3.1,0.155,0,0.155,0.072,14.525,0.227,14.298,0.44,0.034,0.415,184.688,37.73,38.14,29.01,29.01,6.07,6.11,0.78,8.24
July,2000,Taylor,3.1,1.285,1.221,0.064,0.275,4.814,1.56,3.254,0.451,0.155,0.638,217.167,37.9,37.9,31.4,31.4,6.9,6.9,2.33,-9999
February,2003,Taylor,3.1,0.352,0.298,0.054,0.491,6.68,0.843,5.837,0.253,0.079,0.867,244.813,30.17,29.82,23.56,23.55,5.46,5.49,3.78,8.42
August,1997,Taylor,3.1,0.308,0.24,0.068,0.195,18.26,0.503,17.757,0.245,0.023,0.507,346.521,36.2,36.2,31.2,31.2,6.5,5.5,1.05,-9999
March,2004,Taylor,3.1,0.398,0.254,0.144,0.177,56.77,0.575,56.195,0.264,0.021,0.486,319.104,35.49,35.47,23.37,23.39,6.96,6.44,3.39,8.26
September,1996,Taylor,3.1,0.265,0.185,0.08,0.51,19.56,0.775,18.785,0.315,0.02,2.357,220.667,34.7,34.7,29.8,29.8,5,5,4.4,-9999
September,1998,Taylor,3.1,0.145,0.028,0.118,0.445,9.145,0.59,8.555,0.246,0.073,0.197,186.458,35,35,29,29,6.6,6.7,0.75,-9999
November,2001,Taylor,3.1,0.506,0.358,0.148,0.547,13.059,1.052,12.006,0.414,0.049,0.834,456.875,31.1,31.3,23.1,23.1,6.8,6.8,6.73,-9999
April,2001,Taylor,3.1,0.075,0.04,0.035,0.165,12.819,0.24,12.579,0.38,0.003,0.925,223.063,37.3,37.3,24.6,24.6,6.6,7,16.34,-9999
January,2004,Taylor,3.1,0.098,0.055,0.043,0.388,23.575,0.486,23.089,0.241,0.017,0.41,411.854,33.3,33.37,19.65,19.65,7.16,7.46,1.87,8.11
August,2000,Taylor,3.1,0.687,0.433,0.254,0.137,20.728,0.823,19.905,0.16,0.091,0.69,242.208,37.8,37.8,28.5,28.5,7.2,7.2,2.62,-9999
May,2001,Taylor,3.1,0.21,0.115,0.095,0.325,6.478,0.535,5.943,0.103,0.043,0.135,192.208,37.86,37.79,24.28,24.27,5.83,5.84,1.53,-9999
April,1998,Taylor,3.1,0.02,0,0.02,0.385,16.818,0.405,16.413,0.265,0.003,0.199,350.5,33.8,33.8,22.5,22.5,7.9,8,0.75,-9999
December,1997,Taylor,3.1,0.033,0,0.033,0.24,12.993,0.273,12.72,0.278,0.005,0.298,221.583,33.7,33.8,22.7,22.7,7.4,7.9,0.65,-9999
February,1999,Taylor,3.1,0.138,0.075,0.063,0.74,27.919,0.878,27.041,0.163,0.005,0.266,-9999,32,32,25.3,25.3,7.9,8,0.67,-9999
November,2004,Taylor,3.1,0.09,0,0.09,0.439,20.146,0.53,19.617,0.235,0.057,0.672,382.771,38.38,38.41,24.38,24.39,7.12,6.98,2.32,8.26
June,2000,Taylor,3.1,0.371,0.312,0.059,0.052,11.834,0.423,11.411,0.461,0.105,0.262,260.375,36.8,36.8,28.5,28.5,7.5,7.6,1.2,-9999
March,1999,Taylor,3.1,0.218,0.145,0.073,0.49,12.554,0.708,11.846,0.193,0,0.603,240.042,33.7,33.7,23.4,23.4,9.7,9.9,1.08,-9999
July,2001,Taylor,3.1,0.098,0,0.098,0.185,15.66,0.283,15.377,0.59,0.018,1.926,211.521,39,39,29.2,29.1,5.4,5.4,11.74,-9999
